rating,team,position,salary,country,draft_round,age,experience,bmi
73,San Antonio Spurs,G,2764200.0,USA,1,22,2,24.08631820074969
73,Boston Celtics,G,1445697.0,USA,0,31,9,26.10948164798114
73,Cleveland Cavaliers,C,2281800.0,Not-USA,1,23,4,26.211168639053252
73,Miami Heat,G,3640200.0,USA,1,20,1,23.024260724698046
73,Boston Celtics,C,2505793.0,Not-USA,0,27,5,23.494015737618202
73,Detroit Pistons,F,3285120.0,Not-USA,1,20,1,23.004683442937228
73,Memphis Grizzlies,F,2478840.0,Not-USA,1,24,1,23.664733432017282
73,New Orleans Pelicans,F,4102564.0,Not-USA,0,29,7,25.2262230181921
73,Portland Trail Blazers,F,2105520.0,USA,1,20,1,25.976155768429823
72,Memphis Grizzlies,G,2429400.0,USA,1,25,2,24.964428575263764
72,No Team,G-F,1488231.0,USA,0,24,3,23.989905769282398
72,Orlando Magic,G,2028594.0,USA,1,29,7,21.725322782174093
72,Denver Nuggets,G,2487033.0,USA,0,29,7,24.355016242046766
72,Milwaukee Bucks,G,2905800.0,USA,1,23,2,24.964428575263764
72,Los Angeles Lakers,F,2564753.0,USA,1,35,13,26.033057851239672
72,Chicago Bulls,F,8156500.0,Not-USA,0,28,6,28.307599852071004
72,No Team,G,1620564.0,USA,0,30,6,23.025471050195584
72,Detroit Pistons,G,7333333.0,USA,0,29,6,26.772826880934986
72,Indiana Pacers,G,4767000.0,USA,0,31,9,20.826956433017042
72,Chicago Bulls,F,2332320.0,USA,1,24,2,22.00440583153883
72,Orlando Magic,F,1618520.0,USA,2,26,3,23.719518416488114
72,Detroit Pistons,G,15643750.0,USA,1,29,9,24.255885015844274
72,Dallas Mavericks,G-F,12759670.0,USA,1,35,12,23.61516034985423
72,Detroit Pistons,F-C,3569643.0,Not-USA,1,23,4,21.596244131455403
72,Toronto Raptors,G,4000000.0,USA,2,25,4,20.321279176258017
72,Los Angeles Clippers,G,4807693.0,USA,0,29,7,24.964428575263764
72,New Orleans Pelicans,F,7250000.0,USA,2,30,8,26.033057851239672
72,Philadelphia 76ers,G,1737145.0,Not-USA,2,28,7,22.530314097881664
72,Utah Jazz,F,1645357.0,USA,2,27,4,25.82361822727161
72,Phoenix Suns,G,346288.0,USA,1,26,5,23.10151652331372
72,Portland Trail Blazers,G,2149560.0,USA,1,21,2,22.504865546448837
72,Philadelphia 76ers,G-F,3058800.0,USA,1,21,2,25.48998108604479
72,Memphis Grizzlies,F,2854556.0,USA,0,35,13,26.416559489431926
72,Milwaukee Bucks,F,2961120.0,USA,1,24,3,24.533099112426033
72,Cleveland Cavaliers,F,2391985.0,USA,0,28,5,23.664733432017282
